,City,Colors Reported,Shape Reported,State,Time
25778,Kalamazoo,,OTHER,MI,8/15/2003 20:30
25779,Ogdensburg,,LIGHT,NJ,8/15/2003 21:20
25780,Salem,RED,LIGHT,OR,8/15/2003 21:30
25781,Wheeling,,CYLINDER,WV,8/15/2003 21:30
25782,Millinocket,,LIGHT,ME,8/15/2003 22:00
25783,Miami,,OVAL,FL,8/15/2003 22:30
25784,Kerman,,FLASH,CA,8/15/2003 23:00
25785,Issaquah,,TRIANGLE,WA,8/15/2003 23:15
25786,Richfield,,FIREBALL,UT,8/15/2003 23:30
25787,Pasadena,,SPHERE,CA,8/16/2003 0:30
25788,Sacramento,,CHEVRON,CA,8/16/2003 5:06
25789,Chandler,,OTHER,AZ,8/16/2003 15:55
25790,Houston,,,TX,8/16/2003 16:00
25791,Houston,,FORMATION,TX,8/16/2003 17:00
25792,Wheaton,,CYLINDER,IL,8/16/2003 19:00
25793,Lodi,,,CA,8/16/2003 21:00
25794,Kern County,GREEN,TEARDROP,CA,8/16/2003 21:30
25795,Bakersfield,,,CA,8/16/2003 21:45
25796,Beaumont,,VARIOUS,CA,8/16/2003 23:00
25797,Bloomington,,FORMATION,CA,8/16/2003 23:00
25798,Las Vegas,,FIREBALL,NV,8/16/2003 23:00
25799,Seaside,,LIGHT,OR,8/16/2003 23:00
25800,Narragansett,ORANGE YELLOW,DIAMOND,RI,8/17/2003 0:00
25801,San Diego,,TRIANGLE,CA,8/17/2003 0:00
25802,Federal Way,GREEN BLUE,EGG,WA,8/17/2003 0:30
25803,Lakewood,,OTHER,CA,8/17/2003 0:50
25804,Joliet,,DISK,IL,8/17/2003 1:00
25805,Woodland,,FORMATION,CA,8/17/2003 1:13
25806,Los Angeles,,LIGHT,CA,8/17/2003 1:30
25807,Madison,,LIGHT,WI,8/17/2003 4:00
25808,Mission Viejo,,LIGHT,CA,8/17/2003 10:00
25809,Weed,,CIRCLE,CA,8/17/2003 14:20
25810,Kirkland,,CIRCLE,WA,8/17/2003 16:15
25811,Wichita,,CIGAR,KS,8/17/2003 16:30
25812,Fort Lauderdale,,OVAL,FL,8/17/2003 18:43
25813,Alfred,,RECTANGLE,ME,8/17/2003 20:00
25814,Tustin,,LIGHT,CA,8/17/2003 20:55
25815,Bartlesville,,LIGHT,OK,8/17/2003 21:30
25816,Gracemont,,FIREBALL,OK,8/17/2003 22:00
25817,Sedro-Woolley,,FLASH,WA,8/17/2003 22:00
25818,Eagle Lake Manor,,DIAMOND,WI,8/18/2003 15:00
25819,Ridgefield,ORANGE,CYLINDER,WA,8/18/2003 20:00
25820,Rockledge,,OTHER,FL,8/18/2003 20:00
25821,Culpeper,,,VA,8/18/2003 21:00
25822,Wyandotte,,,MI,8/18/2003 21:55
25823,Rockerville,,TRIANGLE,SD,8/18/2003 23:00
25824,Council Bluffs,,DISK,IA,8/19/2003 1:00
25825,New York City,,CIRCLE,NY,8/19/2003 2:00
25826,Griffith,,TRIANGLE,IN,8/19/2003 3:30
25827,Hinsdale,,OVAL,IL,8/19/2003 4:50
25828,Council Bluffs,,,IA,8/19/2003 5:15
25829,Chandler,,CONE,AZ,8/19/2003 21:00
25830,Mansfield,,FLASH,PA,8/19/2003 21:30
25831,Palmer,,LIGHT,MA,8/20/2003 0:00
25832,Burbank,RED,FIREBALL,CA,8/20/2003 0:15
25833,Lynn Haven,,TRIANGLE,FL,8/20/2003 1:00
25834,San Antonio,RED BLUE,LIGHT,TX,8/20/2003 11:30
25835,Bowling Green,,TRIANGLE,KY,8/20/2003 19:00
25836,Dallas,,DIAMOND,TX,8/20/2003 20:30
25837,San Antonio,GREEN,CIGAR,TX,8/20/2003 20:35
25838,Woodside,,DIAMOND,CA,8/20/2003 21:25
25839,Henderson,,FORMATION,NC,8/20/2003 21:30
25840,San Rafael,BLUE,LIGHT,CA,8/20/2003 21:40
25841,Bowling Green,,OTHER,KY,8/20/2003 21:55
25842,Johns Creek,,TRIANGLE,GA,8/20/2003 22:00
25843,Manlius,,CIRCLE,NY,8/20/2003 22:00
25844,Sarasota,,FORMATION,FL,8/20/2003 22:00
25845,Bellflower,RED,FIREBALL,CA,8/20/2003 22:30
25846,Lakewood,,SPHERE,CA,8/20/2003 22:30
25847,Woodinville,,LIGHT,WA,8/20/2003 23:22
25848,Essexville,,LIGHT,MI,8/21/2003 1:30
25849,Bellingham,,EGG,WA,8/21/2003 13:00
25850,Las Vegas,,,NV,8/21/2003 20:00
25851,Bethel,,DISK,OH,8/21/2003 21:05
25852,Atlantic Ocean,,,RI,8/21/2003 21:29
25853,Folly Beach,YELLOW,LIGHT,SC,8/21/2003 22:40
25854,Bristol,,DIAMOND,IN,8/21/2003 23:15
25855,Rentz,,LIGHT,GA,8/22/2003 1:00
25856,Crown Point,,DISK,IN,8/22/2003 4:30
25857,Antioch,,,TN,8/22/2003 20:10
25858,Fort Worth,,CIGAR,TX,8/22/2003 21:15
25859,Columbus,,VARIOUS,OH,8/22/2003 21:30
25860,Wichita,,OTHER,KS,8/22/2003 21:30
25861,Rome,,,GA,8/22/2003 21:45
25862,Minot,ORANGE YELLOW,OVAL,ND,8/22/2003 22:30
25863,Hillsboro,,DISK,OH,8/22/2003 23:00
25864,Ballston Lake,,TRIANGLE,NY,8/22/2003 23:30
25865,West Springfield,GREEN,OTHER,MA,8/23/2003 1:30
25866,Moline,,LIGHT,IL,8/23/2003 2:00
25867,Salt Lake City,,LIGHT,UT,8/23/2003 5:30
25868,Midland,,DISK,MI,8/23/2003 15:00
25869,Reno,,SPHERE,NV,8/23/2003 15:00
25870,Sedona,,OVAL,AZ,8/23/2003 15:00
25871,Hollywood,,LIGHT,CA,8/23/2003 16:00
25872,Reno,,LIGHT,NV,8/23/2003 17:00
25873,Hallandale,,DISK,FL,8/23/2003 18:15
25874,San Marcos,GREEN,LIGHT,CA,8/23/2003 21:10
25875,St. Charles,ORANGE,TRIANGLE,MO,8/23/2003 21:55
25876,Henderson,,OVAL,NV,8/23/2003 22:23
25877,Montebello,,DIAMOND,CA,8/23/2003 23:00
25878,San Marcos,,OTHER,CA,8/23/2003 23:00
25879,Atlanta,,,GA,8/24/2003 0:00
25880,Montebello,RED,FIREBALL,CA,8/24/2003 0:12
25881,Montebello,RED,LIGHT,CA,8/24/2003 0:15
25882,Mt. Laguna,BLUE,LIGHT,CA,8/24/2003 0:20
25883,New York City,,FLASH,NY,8/24/2003 1:00
25884,Monterey Park,RED,CIRCLE,CA,8/24/2003 1:05
25885,Minot,,OVAL,ND,8/24/2003 2:00
25886,Venice,,FLASH,NE,8/24/2003 3:30
25887,Venice,YELLOW,LIGHT,NE,8/24/2003 3:30
25888,Hampton Beach,,DISK,NH,8/24/2003 9:00
25889,Oswego,,CIRCLE,NY,8/24/2003 10:15
25890,Santa Barbara,,DISK,CA,8/24/2003 11:30
25891,Watchung,,CIRCLE,NJ,8/24/2003 11:55
25892,Carolina Beach,,DISK,NC,8/24/2003 14:00
25893,Westland,,DISK,MI,8/24/2003 14:00
25894,Wahpeton,ORANGE,LIGHT,ND,8/24/2003 14:42
25895,Littleton,,SPHERE,MA,8/24/2003 15:15
25896,Monroe,BLUE,FIREBALL,WA,8/24/2003 15:50
25897,Bothell,,,WA,8/24/2003 16:00
25898,Monroe,,FIREBALL,WA,8/24/2003 16:00
25899,Garfield,,LIGHT,NJ,8/24/2003 19:30
25900,Tinton Falls,,CIRCLE,NJ,8/24/2003 21:00
25901,Anaheim Hills,,LIGHT,CA,8/24/2003 21:15
25902,Mount Shasta,,LIGHT,CA,8/24/2003 22:00
25903,Los Angeles,,LIGHT,CA,8/24/2003 23:00
25904,Maumee,,CONE,OH,8/25/2003 0:30
25905,Lafayette,,FLASH,IN,8/25/2003 1:00
25906,Orlando,,LIGHT,FL,8/25/2003 1:42
25907,Grass Valley,,TRIANGLE,CA,8/25/2003 2:30
25908,South Daytona Beach,,LIGHT,FL,8/25/2003 3:45
25909,Sunbury,RED,TRIANGLE,OH,8/25/2003 4:45
25910,Lompoc,,DISK,CA,8/25/2003 14:25
25911,Palm Desert,,LIGHT,CA,8/25/2003 20:30
25912,Phoenix,,,AZ,8/25/2003 21:45
25913,Roseville,,TRIANGLE,CA,8/25/2003 21:45
25914,Tulsa,,TRIANGLE,OK,8/25/2003 22:35
25915,Fort Smith,,OVAL,AR,8/26/2003 0:00
25916,Jacksonville,,VARIOUS,FL,8/26/2003 2:00
25917,Greenwood,,,WI,8/26/2003 3:30
25918,Billerica,,OTHER,MA,8/26/2003 9:45
25919,Indiana,,CYLINDER,IN,8/26/2003 17:00
25920,Myrtle Beach,ORANGE,OTHER,SC,8/26/2003 21:00
25921,Orlando,,CIRCLE,FL,8/26/2003 21:03
25922,Everett,,EGG,WA,8/26/2003 21:05
25923,Poway,YELLOW GREEN,CIRCLE,CA,8/26/2003 21:05
25924,Burbank,,,CA,8/26/2003 21:10
25925,Christoval,,LIGHT,TX,8/26/2003 21:30
25926,Asheville,,,NC,8/26/2003 21:45
25927,North Myrtle Beach,,LIGHT,SC,8/26/2003 22:00
25928,Patriot,,LIGHT,OH,8/26/2003 22:30
25929,North Hollywood,RED,LIGHT,CA,8/26/2003 23:25
25930,Los Angeles,RED,LIGHT,CA,8/26/2003 23:30
25931,Westminster,,TRIANGLE,CO,8/27/2003 0:10
25932,Stryker,,FLASH,OH,8/27/2003 2:00
25933,Davison,,LIGHT,MI,8/27/2003 3:30
25934,Jacksonville,,RECTANGLE,FL,8/27/2003 6:15
25935,Eulonia,BLUE,SPHERE,GA,8/27/2003 10:30
25936,Springfield,,CIGAR,OR,8/27/2003 19:00
25937,Sedro-Woolley,,LIGHT,WA,8/27/2003 20:10
25938,Richmond,,TRIANGLE,VA,8/27/2003 20:30
25939,Mesa,ORANGE,FIREBALL,AZ,8/27/2003 20:45
25940,Marblehead,,FLASH,OH,8/27/2003 21:15
25941,Maricopa,ORANGE,DIAMOND,AZ,8/27/2003 21:45
25942,San Diego,,OVAL,CA,8/27/2003 21:55
25943,Akron,,CIRCLE,OH,8/27/2003 22:00
25944,San Diego,,LIGHT,CA,8/27/2003 22:00
25945,Houston,,,TX,8/27/2003 23:00
25946,Ferrisburg,,LIGHT,VT,8/28/2003 0:05
25947,Delaware,,LIGHT,OH,8/28/2003 1:30
25948,Sanders,,LIGHT,AZ,8/28/2003 6:00
25949,Apache Junction,,DISK,AZ,8/28/2003 6:10
25950,McClellanville,,OTHER,SC,8/28/2003 13:30
25951,Springfield,,OVAL,OR,8/28/2003 18:30
25952,Surprise,,OTHER,AZ,8/28/2003 19:30
25953,Glenburn,ORANGE,OTHER,ME,8/28/2003 20:00
25954,Fort Smith,ORANGE,LIGHT,AR,8/28/2003 21:04
25955,Sacramento,,CIGAR,CA,8/28/2003 21:15
25956,Eunice,,LIGHT,LA,8/28/2003 21:45
25957,Milton,,CIGAR,FL,8/28/2003 22:30
25958,Coldwater,GREEN,,MI,8/28/2003 23:00
25959,Deckers,,LIGHT,CO,8/28/2003 23:00
25960,Kingman,,TRIANGLE,AZ,8/28/2003 23:00
25961,Montebello,RED,LIGHT,CA,8/28/2003 23:00
25962,New York City,,TEARDROP,NY,8/28/2003 23:00
25963,Sandstone,RED,CIRCLE,MN,8/28/2003 23:00
25964,Austin,,LIGHT,TX,8/28/2003 23:15
25965,Evansville,,OTHER,IN,8/28/2003 23:30
25966,Hollywood,,TRIANGLE,CA,8/28/2003 23:30
25967,Katy,,VARIOUS,TX,8/29/2003 1:00
25968,Barstow,YELLOW GREEN BLUE,DIAMOND,CA,8/29/2003 4:00
25969,Atlantic City,,LIGHT,NJ,8/29/2003 20:58
25970,Portland,,TRIANGLE,OR,8/29/2003 22:30
25971,Margate,,FIREBALL,FL,8/29/2003 23:45
25972,Mt. Katahdin area,,EGG,ME,8/30/2003 0:00
25973,Merrick,,OTHER,NY,8/30/2003 0:15
25974,San Benito,RED,CHEVRON,TX,8/30/2003 1:30
25975,San Bernardino,,LIGHT,CA,8/30/2003 4:05
25976,Apache Junction,BLUE,LIGHT,AZ,8/30/2003 4:30
25977,Richmond,,CIRCLE,VA,8/30/2003 6:00
25978,Knoxville,,TRIANGLE,TN,8/30/2003 12:30
25979,Everett,,VARIOUS,WA,8/30/2003 13:00
25980,Seattle,,CYLINDER,WA,8/30/2003 13:30
25981,Columbus,,FORMATION,OH,8/30/2003 14:00
25982,Pasadena,,VARIOUS,CA,8/30/2003 18:40
25983,Heber,,CIGAR,AZ,8/30/2003 19:00
25984,Sayreville,,OVAL,NJ,8/30/2003 20:00
25985,Daytona Beach,,OTHER,FL,8/30/2003 21:00
25986,Harrisburg,,,PA,8/30/2003 21:00
25987,Montebello,RED,FIREBALL,CA,8/30/2003 21:00
25988,Boca Raton,,CIRCLE,FL,8/30/2003 21:15
25989,Linden,,DISK,NJ,8/30/2003 21:30
25990,Springfield,BLUE,OVAL,NJ,8/30/2003 21:45
25991,Montebello,RED,LIGHT,CA,8/30/2003 22:00
25992,Rome,,CIRCLE,PA,8/30/2003 22:00
25993,Sandy,,TRIANGLE,UT,8/30/2003 22:15
25994,Rosemead,RED,CIRCLE,CA,8/30/2003 22:25
25995,Yarmouth,,LIGHT,ME,8/30/2003 22:30
25996,Whittier,RED,LIGHT,CA,8/30/2003 22:35
25997,Alhambra,,LIGHT,CA,8/30/2003 23:00
25998,Los Angeles,RED,TRIANGLE,CA,8/30/2003 23:00
25999,Monterey Park,RED,LIGHT,CA,8/30/2003 23:00
26000,Nisswa,,OTHER,MN,8/30/2003 23:00
26001,Springfield,,OTHER,NJ,8/30/2003 23:00
26002,Sisseton,,FORMATION,SD,8/30/2003 23:15
26003,Vining,,OTHER,MN,8/30/2003 23:15
26004,Vining,,TRIANGLE,MI,8/30/2003 23:15
26005,Brainerd,RED,FORMATION,MN,8/30/2003 23:30
26006,Los Angeles,,LIGHT,CA,8/30/2003 23:30
26007,Maricopa,,,AZ,8/30/2003 23:30
26008,Spokane,,,WA,8/30/2003 23:50
26009,Albuquerque,RED,LIGHT,NM,8/30/2003 23:55
26010,Los Angeles,,SPHERE,CA,8/30/2003 23:55
26011,McGregor,,OTHER,MN,8/30/2003 23:55
26012,McGregor,RED,OTHER,MN,8/30/2003 23:55
26013,McGregor,,TRIANGLE,MN,8/30/2003 23:55
26014,McGregor,RED,CHEVRON,MN,8/30/2003 23:59
26015,Montebello,RED,FIREBALL,CA,8/31/2003 0:11
26016,Montebello,RED,CIRCLE,CA,8/31/2003 0:20
26017,Los Angeles,,LIGHT,CA,8/31/2003 0:27
26018,Roy,,FIREBALL,WA,8/31/2003 0:30
26019,Montebello,RED,LIGHT,CA,8/31/2003 1:00
26020,Salem,,,OR,8/31/2003 2:00
26021,Avenal,,LIGHT,CA,8/31/2003 2:30
26022,Panama City Beach,,CIRCLE,FL,8/31/2003 5:00
26023,Centereach,GREEN,OTHER,NY,8/31/2003 5:20
26024,West Palm Beach,,CIGAR,FL,8/31/2003 11:30
26025,El Paso,,CIRCLE,TX,8/31/2003 13:15
26026,West Sayville,,LIGHT,NY,8/31/2003 20:11
26027,Burbank,ORANGE,LIGHT,CA,8/31/2003 20:30
26028,Salem,,LIGHT,OR,8/31/2003 20:32
26029,Elberon,,OTHER,VA,8/31/2003 20:35
26030,Great Basin NP,,,NV,8/31/2003 21:00
26031,Milwaukee,,TEARDROP,WI,8/31/2003 21:00
26032,La Canada,,OTHER,CA,8/31/2003 21:02
26033,Oakland,,TRIANGLE,CA,8/31/2003 21:50
26034,Cedar Key,,LIGHT,FL,8/31/2003 22:00
26035,Madison,,LIGHT,WI,8/31/2003 22:30
26036,Ryan,,LIGHT,IA,8/31/2003 22:30
26037,Yarmouth,,TRIANGLE,ME,8/31/2003 22:30
26038,Dansville,,FIREBALL,NY,8/31/2003 22:35
26039,San Jacinto,RED GREEN,DISK,CA,8/31/2003 22:44
26040,Los Angeles,RED,LIGHT,CA,8/31/2003 23:00
26041,Springfield,,TEARDROP,NJ,8/31/2003 23:00
26042,Mulino,,TRIANGLE,OR,8/31/2003 23:30
26043,Mt. Rainier Nat'l Park,,,WA,9/1/2003 0:30
26044,Portland,RED YELLOW,LIGHT,OR,9/1/2003 1:30
26045,La Mesa,,,CA,9/1/2003 1:50
26046,Van Nuys,,CIRCLE,CA,9/1/2003 4:30
26047,Springfield,,OVAL,OR,9/1/2003 11:00
26048,Springfield,,TEARDROP,VA,9/1/2003 14:00
26049,Van Nuys,,SPHERE,CA,9/1/2003 16:00
26050,Dundalk,,SPHERE,MD,9/1/2003 17:00
26051,Cypress,,CIRCLE,TX,9/1/2003 17:25
26052,Florence,,,KY,9/1/2003 17:30
26053,Denver,,LIGHT,CO,9/1/2003 18:15
26054,Los Angeles,,DISK,CA,9/1/2003 19:30
26055,Reseda,,OTHER,CA,9/1/2003 20:05
26056,Seattle,,LIGHT,WA,9/1/2003 20:30
26057,Country,,LIGHT,IN,9/1/2003 21:00
26058,Woodland Hills,,CIRCLE,CA,9/1/2003 22:15
26059,Grants Pass,,OTHER,OR,9/1/2003 23:00
26060,Remer,,LIGHT,MN,9/1/2003 23:00
26061,Savannah,RED BLUE,LIGHT,GA,9/1/2003 23:30
26062,Edmonds,,LIGHT,WA,9/2/2003 4:45
26063,Hillsboro,,SPHERE,OR,9/2/2003 19:23
26064,Lyons,RED,LIGHT,CO,9/2/2003 21:30
26065,University Place,,TRIANGLE,WA,9/2/2003 22:20
26066,Kiawah Island,,TRIANGLE,SC,9/3/2003 3:15
26067,Fort Worth,,DISK,TX,9/3/2003 16:45
26068,Ponca City,,DISK,OK,9/3/2003 19:10
26069,San Diego,,LIGHT,CA,9/3/2003 19:55
26070,Montello,,LIGHT,NH,9/3/2003 20:36
26071,Federal Way,,TRIANGLE,WA,9/3/2003 21:00
26072,Seattle,,FORMATION,WA,9/3/2003 22:00
26073,Fort Worth,,TRIANGLE,TX,9/3/2003 22:45
26074,Coal Valley,,FORMATION,IL,9/3/2003 23:05
26075,Arlington,RED,LIGHT,TX,9/3/2003 23:30
26076,Campo,,LIGHT,CA,9/3/2003 23:30
26077,Omaha,,,NE,9/3/2003 23:30
26078,Thornton,,LIGHT,CO,9/3/2003 23:45
26079,Rochelle,GREEN,FIREBALL,IL,9/4/2003 3:05
26080,Rolla,GREEN,OVAL,MO,9/4/2003 3:05
26081,Minneapolis,BLUE,FORMATION,MN,9/4/2003 3:15
26082,Gilmanton,,DISK,NH,9/4/2003 6:00
26083,Walnut Creek,,CIRCLE,CA,9/4/2003 20:20
26084,Belmont,,FIREBALL,CA,9/4/2003 20:30
26085,Mariposa,,FIREBALL,CA,9/4/2003 20:40
26086,Roseville,GREEN,TEARDROP,CA,9/4/2003 20:45
26087,Forestville,,FIREBALL,CA,9/4/2003 21:00
26088,Sedro-Woolley,,FLASH,WA,9/4/2003 21:40
26089,Oak Grove,,LIGHT,MO,9/4/2003 22:15
26090,Shoto,,LIGHT,WI,9/4/2003 22:15
26091,South Bend,BLUE,,IN,9/5/2003 6:30
26092,Phoenix,,OTHER,AZ,9/5/2003 8:48
26093,Lexington,,CROSS,KY,9/5/2003 17:20
26094,San Diego,,OVAL,CA,9/5/2003 17:50
26095,Reno,,LIGHT,NV,9/5/2003 20:45
26096,Chandler,,TRIANGLE,AZ,9/5/2003 21:30
26097,Calaveras Big Trees,,LIGHT,CA,9/5/2003 22:00
26098,Burien,,RECTANGLE,WA,9/5/2003 23:30
26099,Hillsboro,,CIRCLE,OR,9/5/2003 23:30
26100,San Marcos,,CIRCLE,CA,9/5/2003 23:45
26101,New York City,GREEN,OTHER,NY,9/6/2003 0:50
26102,Kearny,RED YELLOW GREEN,CIRCLE,NJ,9/6/2003 3:30
26103,Myrtle Beach,,DISK,SC,9/6/2003 14:00
26104,Carrabasset Valley,,FLASH,ME,9/6/2003 20:30
26105,Asheville,,,NC,9/6/2003 21:00
26106,Pleasant Hill,,OTHER,MO,9/6/2003 21:00
26107,Beach Haven Terrace,,LIGHT,NJ,9/6/2003 22:00
26108,Conway,,CHEVRON,SC,9/6/2003 22:00
26109,New York City,,CIGAR,NY,9/6/2003 23:30
26110,Montebello,,FIREBALL,CA,9/7/2003 0:00
26111,Maricopa,,LIGHT,AZ,9/7/2003 3:00
26112,Weehawken,ORANGE,FORMATION,NJ,9/7/2003 10:05
26113,Indianapolis,,SPHERE,IN,9/7/2003 17:45
26114,Millville,,LIGHT,NJ,9/7/2003 19:55
26115,Riverside,,DISK,CA,9/7/2003 21:00
26116,Cypress,,CIRCLE,TX,9/7/2003 22:00
26117,Cedar Rapids,,VARIOUS,IA,9/8/2003 0:00
26118,Maui,,FLASH,HI,9/8/2003 3:30
26119,New York City,,VARIOUS,NY,9/8/2003 20:00
26120,New York City,,DISK,NY,9/8/2003 22:00
26121,North Myrtle Beach,,CIRCLE,SC,9/8/2003 22:00
26122,Wichita Falls,,SPHERE,TX,9/8/2003 22:15
26123,Maple Valley,GREEN,LIGHT,WA,9/8/2003 22:20
26124,New York City,,DISK,NY,9/8/2003 22:35
26125,Santa Fe,RED GREEN,LIGHT,NM,9/8/2003 23:00
26126,Westport,GREEN,OVAL,CT,9/8/2003 23:00
26127,Bedminster,,OVAL,NJ,9/8/2003 23:05
26128,Anchorage,,LIGHT,AK,9/8/2003 23:30
26129,Renton,GREEN,SPHERE,WA,9/8/2003 23:30
26130,Myrtle Beach,ORANGE,CIRCLE,SC,9/9/2003 0:00
26131,Fort Lauderdale,,TRIANGLE,FL,9/9/2003 0:30
26132,Miami,,TRIANGLE,FL,9/9/2003 0:30
26133,Punta Gorda,,OTHER,FL,9/9/2003 0:30
26134,Tampa,,CIRCLE,FL,9/9/2003 0:30
26135,Tampa,,TRIANGLE,FL,9/9/2003 0:30
26136,Sarasota,RED YELLOW,FIREBALL,FL,9/9/2003 0:31
26137,Clearwater,,TRIANGLE,FL,9/9/2003 0:40
26138,Caribbean Sea,,FIREBALL,FL,9/9/2003 2:00
26139,Port St. Lucie,,FIREBALL,FL,9/9/2003 2:30
26140,Rogersville,,LIGHT,TN,9/9/2003 5:30
26141,Lake Worth,ORANGE,OTHER,FL,9/9/2003 12:23
26142,Los Angeles,,VARIOUS,CA,9/9/2003 18:27
26143,Clinton,,OVAL,MO,9/9/2003 20:45
26144,Ellicott City,,TRIANGLE,MD,9/9/2003 20:45
26145,Norfolk,,LIGHT,NY,9/9/2003 21:00
26146,North Richland Hills,,LIGHT,TX,9/9/2003 21:00
26147,Calexico,,CIRCLE,CA,9/9/2003 22:00
26148,Myrtle Beach,ORANGE,LIGHT,SC,9/9/2003 22:00
26149,Myrtle Beach,ORANGE,OTHER,SC,9/9/2003 22:00
26150,Myrtle Beach,YELLOW,SPHERE,SC,9/9/2003 22:00
26151,Prescott,,,AZ,9/9/2003 22:00
26152,Surfside Beach,,LIGHT,SC,9/9/2003 22:00
26153,Tallahassee,,OTHER,FL,9/9/2003 22:15
26154,Myrtle Beach,,SPHERE,SC,9/9/2003 23:30
26155,Waterville,,OTHER,ME,9/9/2003 23:40
26156,Weatherford,,FLASH,TX,9/10/2003 4:38
26157,Valley Springs,,CIRCLE,CA,9/10/2003 5:10
26158,Converse,,TRIANGLE,TX,9/10/2003 5:30
26159,San Antonio,,FORMATION,TX,9/10/2003 9:00
26160,McAllen,,CIRCLE,TX,9/10/2003 10:30
26161,Osterburg,,TEARDROP,PA,9/10/2003 12:30
26162,St. Petersburg,,DIAMOND,FL,9/10/2003 15:00
26163,New York City,,DISK,NY,9/10/2003 16:20
26164,North Myrtle Beach,RED,CIRCLE,SC,9/10/2003 18:30
26165,Glenfield,,CIRCLE,NY,9/10/2003 20:00
26166,Marana,ORANGE,LIGHT,AZ,9/10/2003 20:10
26167,Cape May,ORANGE,FORMATION,NJ,9/10/2003 20:30
26168,Myrtle Beach,ORANGE,CIRCLE,SC,9/10/2003 20:30
26169,Bozeman,,OTHER,MT,9/10/2003 21:00
26170,Soap Lake,,CIRCLE,WA,9/10/2003 21:30
26171,Clinton,,,MO,9/10/2003 22:00
26172,Stanley,ORANGE,,VA,9/10/2003 22:00
26173,Patchogue,,LIGHT,NY,9/10/2003 22:30
26174,Kenai,,FLASH,AK,9/10/2003 23:30
26175,Commerce City,,FORMATION,CO,9/11/2003 0:00
26176,Windsor,,TRIANGLE,MO,9/11/2003 0:10
26177,Barberton,,LIGHT,OH,9/11/2003 1:30
26178,Mandeville,,TRIANGLE,LA,9/11/2003 2:13
26179,Irving,,CIGAR,TX,9/11/2003 2:45
26180,Lake Charles,RED,SPHERE,LA,9/11/2003 3:00
26181,Oakdale,,OVAL,IL,9/11/2003 19:00
26182,Richmond,,FLASH,VA,9/11/2003 19:00
26183,Springfield,,OVAL,OH,9/11/2003 19:50
26184,Orwigsburg,,CIRCLE,PA,9/11/2003 20:00
26185,Saratoga,,CIRCLE,CA,9/11/2003 21:00
26186,Tupper Lake,ORANGE,LIGHT,NY,9/11/2003 21:00
26187,Sonoran Desert,,LIGHT,AZ,9/11/2003 21:30
26188,Mebane,RED GREEN,LIGHT,NC,9/11/2003 22:00
26189,Toledo,,TRIANGLE,OH,9/11/2003 22:00
26190,Alexandria,GREEN,CIRCLE,VA,9/11/2003 23:28
26191,Alexandria,,CIRCLE,VA,9/11/2003 23:30
26192,Ringgold,,,GA,9/12/2003 1:00
26193,Selah,,DISK,WA,9/12/2003 4:15
26194,Turnersville,,RECTANGLE,NJ,9/12/2003 6:00
26195,Christiansburg,,CIRCLE,VA,9/12/2003 13:09
26196,Alachua County,BLUE,LIGHT,FL,9/12/2003 20:00
26197,Beach City,,LIGHT,TX,9/12/2003 20:00
26198,Fort Plain,,TRIANGLE,NY,9/12/2003 20:40
26199,East Palo Alto,,CIRCLE,CA,9/12/2003 20:45
26200,Yakima,,,WA,9/12/2003 20:50
26201,New Port Richey,,OTHER,FL,9/12/2003 21:00
26202,Malvern,RED,LIGHT,OH,9/12/2003 21:07
26203,Vermillion,,RECTANGLE,SD,9/12/2003 22:20
26204,Claremont,,FIREBALL,CA,9/12/2003 23:15
26205,Troy,,TRIANGLE,NY,9/12/2003 23:50
26206,Los Angeles,BLUE,FLASH,CA,9/13/2003 1:14
26207,Seattle,,OTHER,WA,9/13/2003 1:28
26208,Brick,,,NJ,9/13/2003 3:30
26209,Yelm,RED,TRIANGLE,WA,9/13/2003 12:30
26210,El Reno,,TRIANGLE,OK,9/13/2003 13:00
26211,Tacoma,,SPHERE,WA,9/13/2003 14:30
26212,Tacoma,,FORMATION,WA,9/13/2003 15:35
26213,Mountain Home,,CIGAR,AR,9/13/2003 17:06
26214,Denver,,OTHER,CO,9/13/2003 23:15
26215,Everett,,,WA,9/14/2003 1:20
26216,Mesa,RED YELLOW BLUE,TRIANGLE,AZ,9/14/2003 2:00
26217,Montgomery,,CYLINDER,TX,9/14/2003 8:15
26218,Lake Stevens,,CYLINDER,WA,9/14/2003 15:00
26219,Costa Mesa,,FIREBALL,CA,9/14/2003 16:00
26220,Honolulu,,CIRCLE,HI,9/14/2003 16:30
26221,Coffeyville,,,KS,9/14/2003 21:00
26222,East Falmouth,RED ORANGE GREEN,VARIOUS,MA,9/14/2003 21:00
26223,Arlington,,LIGHT,WA,9/14/2003 21:20
26224,Vernal,,LIGHT,UT,9/14/2003 21:30
26225,New York City,ORANGE,LIGHT,NY,9/14/2003 22:30
26226,Columbus,,OTHER,OH,9/15/2003 0:00
26227,PortTownsend,,CIRCLE,WA,9/15/2003 1:00
26228,Lincoln,BLUE,,NE,9/15/2003 3:20
26229,Cromwell,,LIGHT,MN,9/15/2003 5:30
26230,Valliant,,OTHER,OK,9/15/2003 11:30
26231,Hugo,,CYLINDER,OK,9/15/2003 15:00
26232,Socorro,,RECTANGLE,NM,9/15/2003 17:50
26233,Morris Plains,,FORMATION,NJ,9/15/2003 18:00
